Oxygen Aluminum Silicon                 
  13.39223300 11.18980000  3.11774000
  13.39223300  7.58120000 15.65326000
   5.37876700  7.58120000  3.11774000
   5.37876700 11.18980000 15.65326000
   3.11774000 13.39223300 11.18980000
  15.65326000 13.39223300  7.58120000
   3.11774000  5.37876700  7.58120000
  15.65326000  5.37876700 11.18980000
  13.83820000 21.91026000 11.63576700
  17.44680000  9.37474000 11.63576700
  17.44680000 21.91026000 19.64923300
  13.83820000  9.37474000 19.64923300
  11.63576700 13.83820000 21.91026000
  11.63576700 17.44680000  9.37474000
  19.64923300 17.44680000 21.91026000
  19.64923300 13.83820000  9.37474000
  21.91026000 11.63576700 13.83820000
   9.37474000 11.63576700 17.44680000
  21.91026000 19.64923300 17.44680000
   9.37474000 19.64923300 13.83820000
